('2018-04-03 15:59:47.701592', 1522785587701591550, 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-04 16:12:16.969645', 1522872736969645310, 'File', '/dev/tty', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:00:00.719670', 1522872000719670130, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:00:00.739663', 1522872000739662586, 'File', '/home/user/.profile', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:00:15.079669', 1522872015079668659, 'File', '/etc/login.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:05:33.359656', 1522872333359655911, 'File', '/etc/nsswitch.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.020085', 1522853145020084898, 'File', '/usr/local/libexec/postfix/proxymap', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.100086', 1522853145100085773, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.070083', 1522853145070082735, 'File', '/usr/local/etc/postfix/main.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.100086', 1522853145100085773, 'File', '/etc/spwd.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.090084', 1522853145090084094, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.030083', 1522853145030082528, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.440084', 1522853145440083971, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.450083', 1522853145450083160, 'File', '/etc/spwd.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.360081', 1522853145360080856, 'File', '/usr/local/libexec/postfix/trivial-rewrite', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.420083', 1522853145420082682, 'File', '/usr/local/etc/postfix/main.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.440084', 1522853145440083971, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.370082', 1522853145370081505, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.230085', 1522853145230085215, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.150089', 1522853145150088950, 'File', '/usr/local/libexec/postfix/anvil', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.200083', 1522853145200083187, 'File', '/usr/local/etc/postfix/main.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.230085', 1522853145230085215, 'File', '/etc/spwd.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.230085', 1522853145230085215, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 10:45:45.170086', 1522853145170085559, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:00:00.779660', 1522872000779660458, 'File', '/dev/tty', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:12:16.989647', 1522872736989647455, 'File', '/usr/share/games/fortune/freebsd-tips', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:06:04.929655', 1522872364929654517, 'File', '/usr/share/games/fortune/freebsd-tips.dat', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:06:04.919660', 1522872364919659944, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 22:57:06.659103', 1522897026659102774, 'File', '/etc/pwd.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 22:57:06.639102', 1522897026639101822, 'File', '/usr/share/misc/termcap.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:09:12.559086', 1522897752559086438, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:03:09.929094', 1522897389929093694, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 22:59:07.629099', 1522897147629099459, 'File', '/usr/share/zoneinfo/UTC', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 22:55:05.709107', 1522896905709106648, 'File', '/etc/nsswitch.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:07:10.009090', 1522897630009089639, 'File', '/usr/local/libexec/mlock', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:01.949100', 1522897201949099806, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.029101', 1522897200029100646, 'File', '/etc/spwd.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:10:00.059085', 1522897800059085311, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.049106', 1522897200049106118, 'File', '/etc/login.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:09:12.609086', 1522897752609085962, 'File', 'top_procs.txt', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:08.129098', 1522897208129098086, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 22:55:06.759102', 1522896906759101897, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 22:55:06.769105', 1522896906769105057, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:09.739100', 1522897269739100456, 'File', '/usr/share/zoneinfo/UTC', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:12:16.979645', 1522872736979645243, 'File', '/dev/tty', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:06:04.909652', 1522872364909651811, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:04:08.289096', 1522897448289095506, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:02:08.279093', 1522897328279093066, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:31:23.860022', 1522855883860022433, 'File', 'kernel_zones.txt', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 22:55:00.079103', 1522896900079103360, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.179099', 1522897200179098577, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.109099', 1522897200109098932, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.600038', 1522855232600037832, 'File', '/var/spool/postfix/active/1FC2B29B4B', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.460037', 1522855232460037379, 'File', '/var/mail/bob', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.550043', 1522855232550043075, 'File', '/var/mail/george', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.590037', 1522855232590036693, 'File', '/var/mail/user', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.480036', 1522855232480036398, 'File', '/var/mail/david', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.570040', 1522855232570039704, 'File', '/var/mail/irene', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:21:16.490036', 1522855276490035886, 'Netflow', '127.0.0.1:512', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.560046', 1522855232560045684, 'File', '/var/mail/henry', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.470042', 1522855232470041718, 'File', '/var/mail/charles', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.580039', 1522855232580038823, 'File', '/var/mail/root', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.520038', 1522855232520038466, 'File', '/var/mail/edward', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.380038', 1522855232380038243, 'File', '/var/mail/admin', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:21:16.500036', 1522855276500035865, 'File', '/var/spool/postfix/active/3B43529B4B', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.420038', 1522855232420037701, 'File', '/var/mail/alice', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.520038', 1522855232520038466, 'File', '/var/mail/frank', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.550043', 1522855232550043075, 'File', '/usr/local/libexec/postfix/local', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:21:16.470042', 1522855276470041637, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.650047', 1522855232650046810, 'File', '/etc/spwd.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:21:16.470042', 1522855276470041637, 'File', '/etc/pwd.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.630052', 1522855232630052391, 'File', '/usr/local/etc/postfix/main.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:21:16.470042', 1522855276470041637, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.570040', 1522855232570039704, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.300034', 1522855232300034346, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:21:16.450037', 1522855276450037378, 'File', '/var/mail/henry.lock', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:21:16.420038', 1522855276420037979, 'File', '/usr/share/zoneinfo/UTC', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:21:16.400038', 1522855276400037930, 'File', '/etc/resolv.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.310039', 1522855232310039106, 'File', '/etc/nsswitch.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 13:28:32.779864', 1522862912779864006, 'Subject', 'wget', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:00:01.239663', 1522872001239662947, 'Subject', 'wget', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:00:01.489660', 1522872001489659953, 'File', '/dev/tty', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:31:32.190021', 1522855892190020701, 'File', '/usr/home/user/eraseme', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:25.099096', 1522897285099096112, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 13:28:33.049865', 1522862913049864597, 'File', '/usr/home/user/eraseme/www.a7.org', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:04:57.409090', 1522897497409089875, 'File', '/root/.', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.180040', 1522855232180039612, 'File', '/var/spool/postfix/active/1FC2B29B4B', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.030038', 1522855232030038198, 'File', '/usr/local/libexec/postfix/cleanup', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:21:16.280035', 1522855276280034865, 'File', '/var/spool/postfix/active/3B43529B4B', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.100035', 1522855232100035065, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.110035', 1522855232110034615, 'File', '/etc/spwd.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.080035', 1522855232080035156, 'File', '/usr/local/etc/postfix/main.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.100035', 1522855232100035065, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.080035', 1522855232080035156, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:20:32.090034', 1522855232090034436, 'File', '/etc/nsswitch.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:08:34.739651', 1522872514739650720, 'File', '/dev/tty', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:08.739101', 1522897268739101104, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:08.769099', 1522897268769099236, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:19:54.980036', 1522855194980035872, 'File', '/usr/share/zoneinfo/UTC', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:31:15.780021', 1522855875780020664, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:31:32.310022', 1522855892310022195, 'File', '/usr/home/user/eraseme', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 11:31:32.300019', 1522855892300019296, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 13:28:33.169870', 1522862913169870148, 'File', '/usr/home/user/eraseme/www.a7.org', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 13:37:25.729854', 1522863445729853744, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:12:21.529650', 1522872741529649678, 'File', '/tmp/.31.29ad6', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:05:47.319655', 1522872347319654968, 'File', '/home/user/.pine-debug3', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:12:21.439645', 1522872741439644786, 'File', '/usr/local/bin/alpine', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:05:37.349654', 1522872337349653746, 'File', '/dev/tty', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:12:21.489649', 1522872741489648838, 'File', '/etc/pwd.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:12:21.519644', 1522872741519644395, 'File', '/usr/share/misc/termcap.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:12:21.592626', 1522872741592626253, 'File', '/var/mail/user', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:12:21.592626', 1522872741592626253, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:05:37.219652', 1522872337219651706, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:05:37.289654', 1522872337289653718, 'File', '/etc/resolv.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:05:37.239655', 1522872337239655423, 'File', '/etc/nsswitch.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:12:21.592626', 1522872741592626253, 'File', '/usr/share/zoneinfo/UTC', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:00:01.409662', 1522872001409662148, 'File', '/dev/tty', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.069103', 1522897200069102609, 'File', '/etc/newsyslog.conf.d/amd.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.079101', 1522897200079101110, 'File', '/etc/spwd.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.069103', 1522897200069102609, 'File', '/etc/newsyslog.conf.d/pf.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.069103', 1522897200069102609, 'File', '/etc/newsyslog.conf.d/ppp.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.069103', 1522897200069102609, 'File', '/etc/newsyslog.conf.d/ftp.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.079101', 1522897200079101110, 'File', '/etc/newsyslog.conf.d/sendmail.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.069103', 1522897200069102609, 'File', '/etc/newsyslog.conf.d/lpr.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.069103', 1522897200069102609, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:00:00.069666', 1522872000069665584, 'File', '/etc/newsyslog.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.059104', 1522897200059104159, 'File', '/usr/share/zoneinfo/UTC', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.059104', 1522897200059104159, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:00:00.029101', 1522897200029100646, 'File', '/etc/login.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.529096', 1522897260529095947, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.209095', 1522897260209095404, 'File', '/dev/null', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.199095', 1522897260199095243, 'File', '/usr/bin/tty', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.199095', 1522897260199095243, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.549098', 1522897260549097509, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:04:57.039090', 1522897497039089948, 'File', '/root/.', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:04:57.049092', 1522897497049092359, 'File', '/etc/spwd.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:04:57.069092', 1522897497069092030, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:04:57.069092', 1522897497069092030, 'File', '/usr/share/zoneinfo/UTC', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:04:57.049092', 1522897497049092359, 'File', '/etc/nsswitch.conf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:07.949098', 1522897267949097796, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.129097', 1522897260129097178, 'File', '/usr/bin/lockf', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.129097', 1522897260129097178, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.209095', 1522897260209095404, 'File', '/usr/bin/mktemp', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.209095', 1522897260209095404, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.239097', 1522897260239096726, 'File', '/usr/bin/mail', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.249100', 1522897260249100317, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.559094', 1522897260559094099, 'File', '/bin/cp', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.569096', 1522897260569095870, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.529096', 1522897260529095947, 'File', '/usr/bin/wc', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.529096', 1522897260529095947, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.449102', 1522897260449102351, 'File', '/usr/bin/msgs', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.469097', 1522897260469097223, 'File', '/var/msgs/bounds', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.459095', 1522897260459095322, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:08.009095', 1522897268009095281, 'File', '/usr/bin/cmp', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:08.009095', 1522897268009095281, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:08.209098', 1522897268209097515, 'File', '/bin/df', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:08.209098', 1522897268209097515, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:08.839145', 1522897268839145091, 'File', '/usr/bin/grep', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:16.879102', 1522897276879102425, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:25.059097', 1522897285059097039, 'File', '/sbin/mount', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:25.069098', 1522897285069098380, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:25.079107', 1522897285079106831, 'File', '/usr/bin/awk', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:25.079107', 1522897285079106831, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.049095', 1522897260049095082, 'File', '/etc/spwd.db', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:00.079110', 1522897260079109984, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 23:01:24.969118', 1522897284969117743, 'File', '/var/run/ld-elf.so.hints', '2018-04-04 10:35:21.400096125~2018-04-04 23:10:00.059085311_0')
('2018-04-04 16:00:01.489660', 1522872001489659953, 'File', '/dev/tty', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
