('2018-04-03 15:59:47.701592', 1522785587701591550, 'Netflow', '128.55.12.10:53', 'EVENT_RECVFROM', 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-04 23:03:43.929092', 1522897423929091555, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/curl/libcurl', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.939093', 1522897423939093016, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/cvsps', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.939093', 1522897423939093016, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/damageproto', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.939093', 1522897423939093016, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/dbus-glib', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.949118', 1522897423949118436, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/dejavu', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.949118', 1522897423949118436, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/dri2proto', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.949118', 1522897423949118436, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/expat', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.959092', 1522897423959091667, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/fixesproto', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.969094', 1522897423969093648, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/fontconfig', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.979091', 1522897423979091378, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/freetype2/reference/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.979091', 1522897423979091378, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/freetype2/reference', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.979091', 1522897423979091378, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/gconf', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.009095', 1522897424009095371, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ghostscript/md2k_md5k/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.989096', 1522897423989096389, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ghostscript/chp2200', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.989096', 1522897423989096389, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ghostscript/epson740', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.999094', 1522897423999094400, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ghostscript/japanese', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:43.999094', 1522897423999094400, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ghostscript/lxm3200-tweaked', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.009095', 1522897424009095371, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ghostscript/md2k_md5k', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.009095', 1522897424009095371, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/gnutls', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.019091', 1522897424019091201, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/gsfonts', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.039091', 1522897424039090933, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/imap-uw/rfc/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.039091', 1522897424039090933, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/imap-uw/draft', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.039091', 1522897424039090933, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/imap-uw/rfc', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.049094', 1522897424049094354, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/jasper', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.049094', 1522897424049094354, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/jbig', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.049094', 1522897424049094354, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/jpeg-turbo', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.059092', 1522897424059092174, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/jq', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.059092', 1522897424059092174, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/kbproto', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.069094', 1522897424069094355, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/lcms2', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.069094', 1522897424069094355, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libICE', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.079094', 1522897424079093586, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libXaw', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.079094', 1522897424079093586, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libXmu', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.079094', 1522897424079093586, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libXrender', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.089092', 1522897424089092366, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libdaemon', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.089092', 1522897424089092366, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libgcrypt', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.099093', 1522897424099093317, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libgpg-error', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.099093', 1522897424099093317, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libiconv', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.109094', 1522897424109093838, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libidn', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.109094', 1522897424109093838, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libraw', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.109094', 1522897424109093838, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libtasn1', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.119094', 1522897424119094229, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libunistring', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.149091', 1522897424149091441, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libwmf/html/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.139093', 1522897424139093070, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libwmf/caolan/pics/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.139093', 1522897424139093070, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libwmf/caolan/pics', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.149091', 1522897424149091441, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libwmf/html', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.159092', 1522897424159092021, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libxcb/tutorial/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.159092', 1522897424159092021, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/libxcb/tutorial', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.159092', 1522897424159092021, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/lzo2', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.169094', 1522897424169094292, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/mpfr/examples/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.169094', 1522897424169094292, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/mpfr/examples', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.169094', 1522897424169094292, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/nettle', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.179091', 1522897424179091113, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ninja', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.269109', 1522897424269108779, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/scripts/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.209096', 1522897424209095755, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/drivers/scripts/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.209096', 1522897424209095755, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/drivers/icons', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.209096', 1522897424209095755, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/drivers/scripts', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.209096', 1522897424209095755, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/hints', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.259092', 1522897424259092169, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/html/scripts/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.239093', 1522897424239093237, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/html/drivers/scripts/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.229093', 1522897424229093007, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/html/drivers/icons', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.239093', 1522897424239093237, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/html/drivers/scripts', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.239093', 1522897424239093237, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/html/hints', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.249092', 1522897424249091708, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/html/icons', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.249092', 1522897424249091708, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/html/pic', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.259092', 1522897424259092169, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/html/scripts', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.259092', 1522897424259092169, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/icons', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.259092', 1522897424259092169, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/pic', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.269109', 1522897424269108779, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ntp/scripts', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.279094', 1522897424279093970, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/oniguruma', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.279094', 1522897424279093970, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/openpgm', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.289097', 1522897424289096821, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/pcre/html/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.289097', 1522897424289096821, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/pcre/html', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.299092', 1522897424299091762, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/pkg', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.299092', 1522897424299091762, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/pkgconf', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.299092', 1522897424299091762, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/postfix', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.319095', 1522897424319095243, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/postgresql/extension/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.319095', 1522897424319095243, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/postgresql/extension', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.319095', 1522897424319095243, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py-enum34', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.359092', 1522897424359092106, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py27-Babel/api/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.329094', 1522897424329094344, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py27-Babel/_static', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.329094', 1522897424329094344, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py27-Babel/_templates', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.349092', 1522897424349091725, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py27-Babel/_themes/babel/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.349092', 1522897424349091725, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py27-Babel/_themes/babel/static/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.349092', 1522897424349091725, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py27-Babel/_themes/babel/static', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.359092', 1522897424359092106, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py27-Babel/api/messages/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.359092', 1522897424359092106, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py27-Babel/api/messages', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.409090', 1522897424409090389, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py36-pip/reference/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.389096', 1522897424389095538, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py36-pip/_sources/reference/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.389096', 1522897424389095538, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py36-pip/_sources/reference', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.409090', 1522897424409090389, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py36-pip/_static/js/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.399095', 1522897424399095119, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py36-pip/_static/css', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.399095', 1522897424399095119, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py36-pip/_static/fonts', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.399095', 1522897424399095119, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py36-pip/_static/js', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.409090', 1522897424409090389, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/py36-pip/reference', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.409090', 1522897424409090389, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/randrproto', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.419093', 1522897424419093060, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/readline', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.419093', 1522897424419093060, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/renderproto', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.419093', 1522897424419093060, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/rhash', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.429092', 1522897424429092431, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/rsvg-2.0', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.469087', 1522897424469086714, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ruby24/syslog/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.439094', 1522897424439093622, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ruby24/images', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.439094', 1522897424439093622, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ruby24/irb', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.449093', 1522897424449093232, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ruby24/pty', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.449093', 1522897424449093232, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ruby24/readline', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.449093', 1522897424449093232, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ruby24/ripper', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.459092', 1522897424459091923, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ruby24/stringio', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.459092', 1522897424459091923, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ruby24/syntax', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.459092', 1522897424459091923, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/ruby24/syslog', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.469087', 1522897424469086714, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/sntp', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.469087', 1522897424469086714, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/sudo', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.499092', 1522897424499092146, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/tiff/man/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.489093', 1522897424489093385, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/tiff/images', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.499092', 1522897424499092146, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/tiff/man', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.499092', 1522897424499092146, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/tmux', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.509092', 1522897424509091507, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/doc/zsh', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.949093', 1522897424949093179, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/emacs/info/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.709094', 1522897424709093651, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/emacs/25.3/etc/tutorials/..', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.549092', 1522897424549091730, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/emacs/25.3/etc/charsets', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
('2018-04-04 23:03:44.549092', 1522897424549091730, 'Subject', 'find', 'EVENT_OPEN', 'File', '/data/ufs/usr/local/share/emacs/25.3/etc/e', '2018-04-04 11:31:32.190020701~2018-04-04 23:06:20.509087967_0')
